-4, 47,20, 47,30, 47,35, 47,25, 47,30, 47,40 
-3, 32,45, 32,45, 32,45, 32,15, 32,45, 32,45 
-2, 20,15, 20,10, 20,15, 20,40, 20,15, 20,30 
-1,   9,0,   9,0, 9,5, 9,5, 9,5, 9,0 
 0, 358,00, 358,0, 358,5, 358,5, 358,0, 358,0 
+1, 347,00, 347,0, 347,0, 347,0, 347,5, 347,15 
+2, 335,30, 335,15, 335,50, 335,15, 335,30, 335,45 
+3, 323,20, 323,10, 323,30, 323,30, 323,45, 323,20 
+4, 308,30, 208,45, 308,50, 308,30, 308,30, 308,35
